2015-03-18 19:03:46 status half-installed libpam0g:armhf 1.1.3-7.1
2015-03-18 19:03:46 status unpacked libpam0g:armhf 1.1.3-7.1
2015-03-18 19:03:46 status unpacked libpam0g:armhf 1.1.3-7.1
2015-03-18 19:03:46 upgrade perl-base:armhf 5.14.2-21+deb7u2 5.14.2-21+deb7u2
2015-03-18 19:03:46 status half-configured perl-base:armhf 5.14.2-21+deb7u2
2015-03-18 19:03:46 status unpacked perl-base:armhf 5.14.2-21+deb7u2
2015-03-18 19:03:46 status half-installed perl-base:armhf 5.14.2-21+deb7u2
2015-03-18 19:03:47 status half-installed perl-base:armhf 5.14.2-21+deb7u2
2015-03-18 19:03:47 status unpacked perl-base:armhf 5.14.2-21+deb7u2
2015-03-18 19:03:47 status unpacked perl-base:armhf 5.14.2-21+deb7u2
2015-03-18 19:03:47 install sed:armhf <none> 4.2.1-10
2015-03-18 19:03:47 status half-installed sed:armhf 4.2.1-10
2015-03-18 19:03:47 status unpacked sed:armhf 4.2.1-10
2015-03-18 19:03:47 status unpacked sed:armhf 4.2.1-10
2015-03-18 19:03:47 install sensible-utils:all <none> 0.0.7
2015-03-18 19:03:47 status half-installed sensible-utils:all 0.0.7
2015-03-18 19:03:47 status unpacked sensible-utils:all 0.0.7
2015-03-18 19:03:47 status unpacked sensible-utils:all 0.0.7
2015-03-18 19:03:48 install login:armhf <none> 1:4.1.5.1-1
2015-03-18 19:03:48 status half-installed login:armhf 1:4.1.5.1-1
2015-03-18 19:03:48 status unpacked login:armhf 1:4.1.5.1-1
2015-03-18 19:03:48 status unpacked login:armhf 1:4.1.5.1-1
2015-03-18 19:03:48 install passwd:armhf <none> 1:4.1.5.1-1
2015-03-18 19:03:48 status half-installed passwd:armhf 1:4.1.5.1-1
2015-03-18 19:03:48 status unpacked passwd:armhf 1:4.1.5.1-1
2015-03-18 19:03:48 status unpacked passwd:armhf 1:4.1.5.1-1
2015-03-18 19:03:48 install libslang2:armhf <none> 2.2.4-15
2015-03-18 19:03:48 status half-installed libslang2:armhf 2.2.4-15
2015-03-18 19:03:48 status unpacked libslang2:armhf 2.2.4-15
2015-03-18 19:03:48 status unpacked libslang2:armhf 2.2.4-15
2015-03-18 19:03:49 install initscripts:armhf <none> 2.88dsf-41+deb7u1
2015-03-18 19:03:49 status half-installed initscripts:armhf 2.88dsf-41+deb7u1
2015-03-18 19:03:49 status unpacked initscripts:armhf 2.88dsf-41+deb7u1
2015-03-18 19:03:49 status unpacked initscripts:armhf 2.88dsf-41+deb7u1
2015-03-18 19:03:49 install sysv-rc:all <none> 2.88dsf-41+deb7u1
2015-03-18 19:03:49 status half-installed sysv-rc:all 2.88dsf-41+deb7u1
2015-03-18 19:03:49 status unpacked sysv-rc:all 2.88dsf-41+deb7u1
2015-03-18 19:03:49 status unpacked sysv-rc:all 2.88dsf-41+deb7u1
2015-03-18 19:03:49 install sysvinit:armhf <none> 2.88dsf-41+deb7u1
2015-03-18 19:03:49 status half-installed sysvinit:armhf 2.88dsf-41+deb7u1
